Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,,
2024-11-30 00:00:00+00:00,97486.3046875,97486.3046875,97486.3046875,97486.3046875,97486.3046875,0
2024-11-30 00:02:00+00:00,97451.421875,97451.421875,97451.421875,97451.421875,97451.421875,0
2024-11-30 00:03:00+00:00,97384.140625,97384.140625,97384.140625,97384.140625,97384.140625,7380992
2024-11-30 00:06:00+00:00,97366.359375,97366.359375,97366.359375,97366.359375,97366.359375,0
2024-11-30 00:07:00+00:00,97336.5,97336.5,97336.5,97336.5,97336.5,0
2024-11-30 00:09:00+00:00,97318.359375,97318.359375,97318.359375,97318.359375,97318.359375,0
2024-11-30 00:11:00+00:00,97291.640625,97291.640625,97291.640625,97291.640625,97291.640625,0
2024-11-30 00:12:00+00:00,97278.078125,97278.078125,97278.078125,97278.078125,97278.078125,0
2024-11-30 00:15:00+00:00,97270.78125,97270.78125,97270.78125,97270.78125,97270.78125,0
2024-11-30 00:16:00+00:00,97257.1640625,97257.1640625,97257.1640625,97257.1640625,97257.1640625,0
2024-11-30 00:18:00+00:00,97251.25,97251.25,97251.25,97251.25,97251.25,0
2024-11-30 00:19:00+00:00,97275.171875,97275.171875,97275.171875,97275.171875,97275.171875,786432
2024-11-30 00:20:00+00:00,97262.6484375,97262.6484375,97262.6484375,97262.6484375,97262.6484375,0
2024-11-30 00:21:00+00:00,97308.203125,97308.203125,97308.203125,97308.203125,97308.203125,3837952
2024-11-30 00:22:00+00:00,97366.1796875,97366.1796875,97366.1796875,97366.1796875,97366.1796875,3538944
2024-11-30 00:24:00+00:00,97356.875,97356.875,97356.875,97356.875,97356.875,56516608
2024-11-30 00:26:00+00:00,97353.890625,97353.890625,97353.890625,97353.890625,97353.890625,15458304
2024-11-30 00:27:00+00:00,97341.0546875,97341.0546875,97341.0546875,97341.0546875,97341.0546875,512000
2024-11-30 00:29:00+00:00,97340.734375,97340.734375,97340.734375,97340.734375,97340.734375,1105920
2024-11-30 00:30:00+00:00,97296.734375,97296.734375,97296.734375,97296.734375,97296.734375,0
2024-11-30 00:31:00+00:00,97286.546875,97286.546875,97286.546875,97286.546875,97286.546875,9187328
2024-11-30 00:33:00+00:00,97194.296875,97194.296875,97194.296875,97194.296875,97194.296875,14503936
2024-11-30 00:35:00+00:00,97194.8359375,97194.8359375,97194.8359375,97194.8359375,97194.8359375,0
2024-11-30 00:36:00+00:00,97181.703125,97181.703125,97181.703125,97181.703125,97181.703125,1585152
2024-11-30 00:37:00+00:00,97178.25,97178.25,97178.25,97178.25,97178.25,7958528
2024-11-30 00:39:00+00:00,97153.40625,97153.40625,97153.40625,97153.40625,97153.40625,0
2024-11-30 00:41:00+00:00,97138.578125,97138.578125,97138.578125,97138.578125,97138.578125,0
2024-11-30 00:42:00+00:00,97112.2265625,97112.2265625,97112.2265625,97112.2265625,97112.2265625,2207744
2024-11-30 00:43:00+00:00,97085.28125,97085.28125,97085.28125,97085.28125,97085.28125,2560000
2024-11-30 00:45:00+00:00,97045.765625,97045.765625,97045.765625,97045.765625,97045.765625,0
2024-11-30 00:46:00+00:00,97079.859375,97079.859375,97079.859375,97079.859375,97079.859375,8204288
2024-11-30 00:48:00+00:00,97072.6875,97072.6875,97072.6875,97072.6875,97072.6875,16191488
2024-11-30 00:50:00+00:00,97085.59375,97085.59375,97085.59375,97085.59375,97085.59375,23564288
2024-11-30 00:51:00+00:00,97068.1484375,97068.1484375,97068.1484375,97068.1484375,97068.1484375,8454144
2024-11-30 00:52:00+00:00,97007.2890625,97007.2890625,97007.2890625,97007.2890625,97007.2890625,0
2024-11-30 00:54:00+00:00,97021.9609375,97021.9609375,97021.9609375,97021.9609375,97021.9609375,0
2024-11-30 00:55:00+00:00,97024.6875,97024.6875,97024.6875,97024.6875,97024.6875,0
2024-11-30 00:57:00+00:00,97002.4921875,97002.4921875,97002.4921875,97002.4921875,97002.4921875,0
2024-11-30 00:59:00+00:00,97065.7265625,97065.7265625,97065.7265625,97065.7265625,97065.7265625,0
2024-11-30 01:00:00+00:00,97021.203125,97021.203125,97021.203125,97021.203125,97021.203125,8568832
2024-11-30 01:01:00+00:00,96998.03125,96998.03125,96998.03125,96998.03125,96998.03125,1970176
2024-11-30 01:02:00+00:00,96992.6015625,96992.6015625,96992.6015625,96992.6015625,96992.6015625,0
2024-11-30 01:04:00+00:00,96932.53125,96932.53125,96932.53125,96932.53125,96932.53125,0
2024-11-30 01:05:00+00:00,96928.9296875,96928.9296875,96928.9296875,96928.9296875,96928.9296875,0
2024-11-30 01:06:00+00:00,96850.4921875,96850.4921875,96850.4921875,96850.4921875,96850.4921875,0
2024-11-30 01:07:00+00:00,96833.7734375,96833.7734375,96833.7734375,96833.7734375,96833.7734375,20910080
2024-11-30 01:09:00+00:00,96895.8203125,96895.8203125,96895.8203125,96895.8203125,96895.8203125,0
2024-11-30 01:10:00+00:00,96842.4921875,96842.4921875,96842.4921875,96842.4921875,96842.4921875,12378112
2024-11-30 01:12:00+00:00,96838.984375,96838.984375,96838.984375,96838.984375,96838.984375,0
2024-11-30 01:14:00+00:00,96833.4140625,96833.4140625,96833.4140625,96833.4140625,96833.4140625,0
2024-11-30 01:15:00+00:00,96825.1640625,96825.1640625,96825.1640625,96825.1640625,96825.1640625,1093632
2024-11-30 01:16:00+00:00,96806.140625,96806.140625,96806.140625,96806.140625,96806.140625,1937408
2024-11-30 01:18:00+00:00,96795.6796875,96795.6796875,96795.6796875,96795.6796875,96795.6796875,0
2024-11-30 01:19:00+00:00,96758.328125,96758.328125,96758.328125,96758.328125,96758.328125,0
2024-11-30 01:21:00+00:00,96760.4296875,96760.4296875,96760.4296875,96760.4296875,96760.4296875,8929280
2024-11-30 01:23:00+00:00,96722.46875,96722.46875,96722.46875,96722.46875,96722.46875,6639616
2024-11-30 01:24:00+00:00,96698.71875,96698.71875,96698.71875,96698.71875,96698.71875,0
2024-11-30 01:26:00+00:00,96744.6015625,96744.6015625,96744.6015625,96744.6015625,96744.6015625,15585280
2024-11-30 01:27:00+00:00,96801.7578125,96801.7578125,96801.7578125,96801.7578125,96801.7578125,22421504
2024-11-30 01:29:00+00:00,96732.1171875,96732.1171875,96732.1171875,96732.1171875,96732.1171875,42606592
2024-11-30 01:30:00+00:00,96734.1171875,96734.1171875,96734.1171875,96734.1171875,96734.1171875,3133440
2024-11-30 01:31:00+00:00,96796.6953125,96796.6953125,96796.6953125,96796.6953125,96796.6953125,0
2024-11-30 01:33:00+00:00,96735.5703125,96735.5703125,96735.5703125,96735.5703125,96735.5703125,20017152
2024-11-30 01:34:00+00:00,96751.9140625,96751.9140625,96751.9140625,96751.9140625,96751.9140625,3059712
2024-11-30 01:36:00+00:00,96868.2421875,96868.2421875,96868.2421875,96868.2421875,96868.2421875,19906560
2024-11-30 01:37:00+00:00,96861.7734375,96861.7734375,96861.7734375,96861.7734375,96861.7734375,15761408
2024-11-30 01:39:00+00:00,96817.5546875,96817.5546875,96817.5546875,96817.5546875,96817.5546875,21491712
2024-11-30 01:41:00+00:00,96756.1171875,96756.1171875,96756.1171875,96756.1171875,96756.1171875,59346944
2024-11-30 01:42:00+00:00,96708.921875,96708.921875,96708.921875,96708.921875,96708.921875,17027072
2024-11-30 01:43:00+00:00,96730.453125,96730.453125,96730.453125,96730.453125,96730.453125,0
2024-11-30 01:45:00+00:00,96700.1796875,96700.1796875,96700.1796875,96700.1796875,96700.1796875,8044544
2024-11-30 01:46:00+00:00,96690.8671875,96690.8671875,96690.8671875,96690.8671875,96690.8671875,3608576
2024-11-30 01:48:00+00:00,96525.453125,96525.453125,96525.453125,96525.453125,96525.453125,24952832
2024-11-30 01:50:00+00:00,96542.296875,96542.296875,96542.296875,96542.296875,96542.296875,70213632
2024-11-30 01:51:00+00:00,96561.515625,96561.515625,96561.515625,96561.515625,96561.515625,9662464
2024-11-30 01:52:00+00:00,96612.78125,96612.78125,96612.78125,96612.78125,96612.78125,9433088
2024-11-30 01:54:00+00:00,96583.0859375,96583.0859375,96583.0859375,96583.0859375,96583.0859375,38596608
2024-11-30 01:55:00+00:00,96567.9453125,96567.9453125,96567.9453125,96567.9453125,96567.9453125,0
2024-11-30 01:57:00+00:00,96629.1328125,96629.1328125,96629.1328125,96629.1328125,96629.1328125,0
2024-11-30 01:59:00+00:00,96558.265625,96558.265625,96558.265625,96558.265625,96558.265625,29573120
2024-11-30 02:00:00+00:00,96506.7265625,96506.7265625,96506.7265625,96506.7265625,96506.7265625,4841472
2024-11-30 02:01:00+00:00,96505.203125,96505.203125,96505.203125,96505.203125,96505.203125,0
2024-11-30 02:03:00+00:00,96514.6328125,96514.6328125,96514.6328125,96514.6328125,96514.6328125,0
2024-11-30 02:04:00+00:00,96554.578125,96554.578125,96554.578125,96554.578125,96554.578125,0
2024-11-30 02:05:00+00:00,96410.4453125,96410.4453125,96410.4453125,96410.4453125,96410.4453125,106496
2024-11-30 02:06:00+00:00,96395.296875,96395.296875,96395.296875,96395.296875,96395.296875,7651328
2024-11-30 02:07:00+00:00,96409.890625,96409.890625,96409.890625,96409.890625,96409.890625,0
2024-11-30 02:08:00+00:00,96455.84375,96455.84375,96455.84375,96455.84375,96455.84375,0
2024-11-30 02:09:00+00:00,96447.1484375,96447.1484375,96447.1484375,96447.1484375,96447.1484375,4841472
2024-11-30 02:10:00+00:00,96441.1171875,96441.1171875,96441.1171875,96441.1171875,96441.1171875,2678784
2024-11-30 02:11:00+00:00,96477.0703125,96477.0703125,96477.0703125,96477.0703125,96477.0703125,2371584
